Leaf_Dry_Weight_kg,Species_Variety,Harvest_Season,Oil_Yield_L
315.8,Sri Gemunu,January-May,2.92
247.3,Sri Gemunu,January-May,2.5
105.5,Sri Gemunu,January-May,1.11
158.3,Sri Gemunu,January-May,1.54
207.4,Sri Gemunu,January-May,2.01
149.3,Sri Vijaya,January-May,1.36
252.4,Sri Gemunu,June-December,2.02
268.5,Sri Vijaya,January-May,2.66
181.8,Sri Vijaya,June-December,1.51
281.6,Sri Gemunu,June-December,2.25
255.7,Sri Gemunu,January-May,2.65
230.7,Sri Gemunu,June-December,2.09
240.8,Sri Vijaya,June-December,1.76
