Leaf_Dry_Weight_kg,Species_Variety,Harvest_Season,Oil_Yield_kg
123.16,Sri Gemunu,October–December/January,2.54
150.88,Sri Vijaya,May–August,3.745
98.64,Sri Vijaya,October–December/January,1.975
159.83,Sri Vijaya,October–December/January,2.844
141.38,Sri Gemunu,October–December/January,2.966
149.89,Sri Gemunu,May–August,3.218
141.46,Sri Gemunu,May–August,3.221
99.1,Sri Vijaya,May–August,1.804
108.37,Sri Vijaya,May–August,2.163
83.37,Sri Vijaya,October–December/January,1.245
159.02,Sri Gemunu,October–December/January,2.787
97.46,Sri Vijaya,October–December/January,1.607
142.91,Sri Vijaya,October–December/January,2.633
155.58,Sri Gemunu,October–December/January,3.091
129.07,Sri Gemunu,October–December/January,3.219
98.45,Sri Gemunu,October–December/January,2.501
97.64,Sri Gemunu,October–December/January,2.254
84.63,Sri Vijaya,May–August,1.878
150.7,Sri Gemunu,May–August,3.931
135.68,Sri Gemunu,May–August,3.104
145.27,Sri Vijaya,October–December/January,2.421
127.44,Sri Gemunu,October–December/January,2.6
87.32,Sri Gemunu,May–August,2.17
151.1,Sri Gemunu,October–December/January,3.682
148.97,Sri Gemunu,October–December/January,3.495
86.96,Sri Vijaya,May–August,2.129
109.82,Sri Gemunu,May–August,3.152
86.48,Sri Vijaya,October–December/January,1.344
134.66,Sri Vijaya,May–August,2.381
145.97,Sri Gemunu,October–December/January,2.849
134.24,Sri Vijaya,May–August,2.682
143.79,Sri Gemunu,October–December/January,3.375
148.05,Sri Gemunu,October–December/January,3.507
135.8,Sri Vijaya,October–December/January,2.687
129.49,Sri Vijaya,October–December/January,2.261
149.75,Sri Vijaya,May–August,3.372
146.07,Sri Gemunu,May–August,3.807
92.86,Sri Gemunu,May–August,2.326
146.57,Sri Vijaya,October–December/January,2.51
129.35,Sri Gemunu,October–December/January,2.971
130.55,Sri Gemunu,October–December/January,3.128
142.39,Sri Gemunu,May–August,3.181
140.88,Sri Gemunu,May–August,3.878
130.61,Sri Vijaya,May–August,3.064
88.2,Sri Gemunu,May–August,2.3
104.08,Sri Vijaya,October–December/January,2.002
85.39,Sri Gemunu,May–August,1.897
83.66,Sri Vijaya,May–August,2.106
157.88,Sri Vijaya,October–December/January,2.808
81.77,Sri Gemunu,May–August,2.031
119.09,Sri Vijaya,May–August,2.841
101.89,Sri Vijaya,October–December/January,2.155
114.09,Sri Vijaya,May–August,2.354
135.49,Sri Vijaya,October–December/January,2.315
86.59,Sri Vijaya,October–December/January,1.714
156.07,Sri Vijaya,October–December/January,3.109
114.59,Sri Gemunu,May–August,3.035
111.81,Sri Gemunu,October–December/January,2.586
158.72,Sri Gemunu,May–August,4.477
97.05,Sri Gemunu,May–August,2.431
132.13,Sri Gemunu,May–August,3.808
157.46,Sri Gemunu,October–December/January,3.23
149.49,Sri Vijaya,May–August,3.678
140.88,Sri Gemunu,May–August,4.023
90.5,Sri Gemunu,October–December/January,2.27
89.38,Sri Vijaya,May–August,2.032
134.85,Sri Gemunu,May–August,3.113
85.14,Sri Vijaya,May–August,1.876
101.52,Sri Gemunu,May–August,2.52
80.93,Sri Vijaya,May–August,1.913
111.4,Sri Vijaya,May–August,3.011
135.6,Sri Gemunu,October–December/January,2.913
142.39,Sri Gemunu,May–August,3.652
99.36,Sri Vijaya,May–August,2.219
91.4,Sri Vijaya,October–December/January,2.121
124.77,Sri Vijaya,May–August,2.679
106.12,Sri Vijaya,October–December/January,1.692
82.66,Sri Gemunu,May–August,2.129
111.75,Sri Gemunu,May–August,3.058
144.05,Sri Gemunu,May–August,3.348
93.4,Sri Vijaya,May–August,2.192
82.53,Sri Vijaya,May–August,1.797
84.16,Sri Gemunu,May–August,2.674
137.13,Sri Gemunu,May–August,3.839
107.16,Sri Gemunu,May–August,2.938
116.19,Sri Gemunu,May–August,3.388
122.11,Sri Vijaya,May–August,2.55
99.77,Sri Vijaya,May–August,2.218
149.74,Sri Vijaya,May–August,3.147
132.7,Sri Gemunu,October–December/January,2.743
124.43,Sri Gemunu,May–August,3.131
157.98,Sri Vijaya,October–December/January,3.129
