date,price_lkr
3/24/2026,"5,327.00"
3/17/2026,"5,327.00"
3/10/2026,"5,361.00"
3/3/2026,"5,352.00"
2/24/2026,"5,307.50"
2/17/2026,"5,282.50"
2/10/2026,"5,344.00"
2/3/2026,"5,360.00"
1/27/2026,"5,412.50"
1/20/2026,"5,412.50"
1/13/2026,"5,377.50"
1/6/2026,"5,362.00"
12/30/2025,"5,318.75"
12/23/2025,"5,425.00"
12/16/2025,"5,445.00"
12/9/2025,"5,360.00"
12/2/2025,"5,290.00"
11/25/2025,"5,180.00"
11/18/2025,"5,307.50"
11/11/2025,"5,207.50"
11/4/2025,"5,207.50"
10/28/2025,"5,307.50"
10/21/2025,"5,290.00"
10/14/2025,"5,325.00"
10/7/2025,"5,272.50"
9/30/2025,"5,275.00"
9/23/2025,"5,292.50"
9/16/2025,"5,225.00"
9/9/2025,"5,275.00"
9/2/2025,"5,205.00"
8/26/2025,"4,475.00"
8/19/2025,"5,354.00"
8/12/2025,"5,365.00"
8/5/2025,"5,330.00"
7/29/2025,"5,362.50"
7/22/2025,"5,000.00"
7/15/2025,"5,330.00"
7/8/2025,"5,242.50"
7/1/2025,"5,857.50"
6/24/2025,"4,857.50"
6/17/2025,"5,225.00"
6/11/2025,"5,242.50"
6/10/2025,"5,190.00"
6/3/2025,"5,137.50"
5/27/2025,"5,005.00"
5/20/2025,"4,917.50"
5/14/2025,"5,022.50"
5/13/2025,"4,987.50"
5/7/2025,"4,952.50"
5/6/2025,"4,952.50"
4/29/2025,"4,952.50"
4/22/2025,"5,040.00"
4/15/2025,"5,135.00"
4/8/2025,"5,232.50"
4/1/2025,"4,820.00"
3/25/2025,"5,250.00"
3/18/2025,"5,145.00"
3/11/2025,"4,325.00"
3/4/2025,"4,710.00"
2/25/2025,"5,092.50"
2/18/2025,"4,857.50"
2/11/2025,"5,005.00"
2/5/2025,"5,022.50"
2/4/2025,"5,084.00"
1/28/2025,"5,050.00"
1/21/2025,"4,973.50"
1/15/2025,"4,857.50"
1/14/2025,"4,987.50"
1/7/2025,"5,117.00"
12/31/2024,"4,987.50"
12/24/2024,"4,952.50"
12/17/2024,"5,031.50"
12/10/2024,"4,793.00"
12/3/2024,"4,793.00"
11/26/2024,"4,817.50"
11/19/2024,"4,668.50"
11/12/2024,"4,532.50"
11/5/2024,"4,497.50"
10/29/2024,"4,473.00"
10/22/2024,"4,482.50"
10/15/2024,"4,635.00"
10/8/2024,"4,585.00"
10/1/2024,"4,532.50"
9/24/2024,"4,471.50"
9/18/2024,"4,221.50"
9/17/2024,"4,290.00"
9/10/2024,"4,356.50"
9/3/2024,"4,307.50"
8/27/2024,"3,712.50"
8/20/2024,"4,307.50"
8/13/2024,"4,229.50"
8/6/2024,"4,279.50"
7/30/2024,"4,360.00"
7/23/2024,"4,222.50"
7/16/2024,"4,187.50"
7/9/2024,"4,152.50"
7/2/2024,"4,117.50"
6/25/2024,"4,000.00"
6/18/2024,"4,117.50"
6/11/2024,"4,100.00"
6/4/2024,"4,047.50"
5/28/2024,"4,037.50"
5/21/2024,"4,037.50"
5/14/2024,"3,827.50"
5/7/2024,"3,700.00"
4/30/2024,"3,827.50"
4/24/2024,"3,877.50"
4/23/2024,"3,550.00"
4/16/2024,"3,225.00"
4/9/2024,"3,517.50"
4/8/2024,"3,810.00"
4/2/2024,"3,275.00"
3/26/2024,"3,847.50"
3/19/2024,"3,825.00"
3/12/2024,"3,915.00"
3/5/2024,"3,932.50"
2/27/2024,"3,932.50"
2/20/2024,"3,745.00"
2/13/2024,"4,180.00"
2/6/2024,"4,080.00"
1/30/2024,"4,029.00"
1/24/2024,"3,937.50"
